16:37:29.438 INFO   - GraphicsView::dragMoveEvent
16:37:29.449 INFO   - GraphicsView::dropEvent formats=(x-special/gnome-icon-list, text/uri-list, text/plain, COMPOUND_TEXT, text/plain;charset=utf-8) hasUrls=yes urlCount=1 urls=( url=file:///home/ty/research/repos/elph/v1/tests/ref_data/fig4.png ) text=file:///home/ty/research/repos/elph/v1/tests/ref_data/fig4.png
 hasImage=no
16:37:29.449 INFO   - LoadFileInfo::loadsAsDigFile
16:37:29.449 INFO   - CoordSystemContext::CoordSystemContext
16:37:29.449 INFO   - Document::Document fileName=/home/ty/research/repos/elph/v1/tests/ref_data/fig4.png

16:37:29.449 INFO   - CoordSystemContext::~CoordSystemContext
16:37:29.451 INFO   - GraphicsView::dropEvent url=file:///home/ty/research/repos/elph/v1/tests/ref_data/fig4.png
16:37:29.451 INFO   - MainWindow::slotFileImportDraggedImageUrl url=file:///home/ty/research/repos/elph/v1/tests/ref_data/fig4.png
16:37:29.451 INFO   - LoadImageFromUrl::startLoadImage url=file:///home/ty/research/repos/elph/v1/tests/ref_data/fig4.png
16:37:29.475 INFO   - MainWindow::slotFileImportImage fileName=fig4.png
16:37:29.476 INFO   - MainWindow::loadImage fileName=fig4.png importType=0
16:37:29.476 INFO   - MainWindow::loadImageNewDocument fileName=fig4.png importType=0
16:37:29.487 INFO   - CoordSystemContext::CoordSystemContext
16:37:29.487 INFO   - Document::Document image=1260x936
16:37:29.487 INFO   - CoordSystemContext::addCoordSystems numberToAdd=1
16:37:29.488 INFO   - CoordSystem::CoordSystem
16:37:29.493 INFO   - CmdMediator::CmdMediator image=1260x936
16:37:29.494 INFO   - MainWindow::setupAfterLoadNewDocument file=fig4.png message=File imported importType=0
16:37:29.494 INFO   - DigitizeStateContext::resetOnLoad
16:37:29.494 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
16:37:29.494 INFO   - BackgroundStateContext::setCurveSelected curve=
16:37:29.494 INFO   - BackgroundStateCurve::setCurveSelected curve=
16:37:29.494 INFO   - BackgroundStateCurve::processImageFromSavedInputs
16:37:29.494 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(0x0)
16:37:29.494 INFO   - BackgroundStateNone::setCurveSelected
